episode,seed,step,action,action_label,kind,sensing_cost,info_gain_weight,expected_info_gain,weighted_info_gain,expected_task_value,total_score,chosen
0,42,0,1,move(S),move,0.0,5.0,0.0,0.0,-26.660237477551462,-26.660237477551462,True
0,42,0,2,move(E),move,0.0,5.0,0.0,0.0,-28.160237477551465,-28.160237477551465,False
0,42,1,0,move(N),move,0.0,5.0,0.0,0.0,-28.660237477551465,-28.660237477551465,False
0,42,1,1,move(S),move,0.0,5.0,0.0,0.0,-29.5,-29.5,False
0,42,1,2,move(E),move,0.0,5.0,0.0,0.0,-28.660237477551465,-28.660237477551465,False
0,42,1,4,test0,observe,0.5,5.0,0.06942769813726002,0.3471384906863001,-26.750902702440378,-26.403764211754076,False
0,42,1,5,test1,observe,2.0,5.0,0.3159525044897076,1.5797625224485379,-27.74,-26.160237477551462,True
0,42,1,6,diagnose(nominal),commit,0.0,5.0,0.0,0.0,-40.1,-40.1,False
0,42,1,7,diagnose(faulty),commit,0.0,5.0,0.0,0.0,-28.5,-28.5,False
0,42,2,0,move(N),move,0.0,5.0,0.0,0.0,-27.023873841187825,-27.023873841187825,False
0,42,2,1,move(S),move,0.0,5.0,0.0,0.0,-27.863636363636363,-27.863636363636363,False
0,42,2,2,move(E),move,0.0,5.0,0.0,0.0,-27.023873841187825,-27.023873841187825,False
0,42,2,4,test0,observe,0.5,5.0,0.0146270576706794,0.073135288353397,-26.392687819561246,-26.319552531207847,True
0,42,2,5,test1,observe,2.0,5.0,0.07322414041383583,0.3661207020691792,-26.962759656029743,-26.596638953960564,False
0,42,2,6,diagnose(nominal),commit,0.0,5.0,0.0,0.0,-26.863636363636363,-26.863636363636363,False
0,42,2,7,diagnose(faulty),commit,0.0,5.0,0.0,0.0,-31.045454545454547,-31.045454545454547,False
0,42,3,0,move(N),move,0.0,5.0,0.0,0.0,-25.70023747755146,-25.70023747755146,False
0,42,3,1,move(S),move,0.0,5.0,0.0,0.0,-26.54,-26.54,False
0,42,3,2,move(E),move,0.0,5.0,0.0,0.0,-25.70023747755146,-25.70023747755146,False
0,42,3,4,test0,observe,0.5,5.0,0.00662676248395537,0.03313381241977685,-26.04,-26.006866187580222,False
0,42,3,5,test1,observe,2.0,5.0,0.033795800050673744,0.1689790002533687,-26.82953271531676,-26.66055371506339,False
0,42,3,6,diagnose(nominal),commit,0.0,5.0,0.0,0.0,-25.54,-25.54,True
0,42,3,7,diagnose(faulty),commit,0.0,5.0,0.0,0.0,-31.3,-31.3,False
0,42,4,0,move(N),move,0.0,5.0,0.0,0.0,-24.160237477551462,-24.160237477551462,True
0,42,4,1,move(S),move,0.0,5.0,0.0,0.0,-27.5,-27.5,False
0,42,4,2,move(E),move,0.0,5.0,0.0,0.0,-24.160237477551462,-24.160237477551462,False
0,42,5,1,move(S),move,0.0,5.0,0.0,0.0,-27.0,-27.0,False
0,42,5,2,move(E),move,0.0,5.0,0.0,0.0,-23.660237477551462,-23.660237477551462,True
0,42,6,1,move(S),move,0.0,5.0,0.0,0.0,-24.160237477551462,-24.160237477551462,False
0,42,6,2,move(E),move,0.0,5.0,0.0,0.0,-24.160237477551462,-24.160237477551462,False
0,42,6,3,move(W),move,0.0,5.0,0.0,0.0,-24.160237477551462,-24.160237477551462,False
0,42,6,4,test0,observe,0.5,5.0,0.06942769813726002,0.3471384906863001,-23.225902702440383,-22.87876421175408,False
0,42,6,5,test1,observe,2.0,5.0,0.3159525044897076,1.5797625224485379,-24.380904670597182,-22.801142148148646,True
0,42,6,6,diagnose(nominal),commit,0.0,5.0,0.0,0.0,-37.1,-37.1,False
0,42,6,7,diagnose(faulty),commit,0.0,5.0,0.0,0.0,-25.5,-25.5,False
0,42,7,1,move(S),move,0.0,5.0,0.0,0.0,-23.523873841187825,-23.523873841187825,False
0,42,7,2,move(E),move,0.0,5.0,0.0,0.0,-22.863636363636363,-22.863636363636363,True
0,42,7,3,move(W),move,0.0,5.0,0.0,0.0,-24.863636363636363,-24.863636363636363,False
0,42,7,4,test0,observe,0.5,5.0,0.0146270576706794,0.073135288353397,-23.37892397841754,-23.30578869006414,False
0,42,7,5,test1,observe,2.0,5.0,0.07322414041383583,0.3661207020691792,-23.962759656029746,-23.596638953960568,False
0,42,7,6,diagnose(nominal),commit,0.0,5.0,0.0,0.0,-23.863636363636363,-23.863636363636363,False
0,42,7,7,diagnose(faulty),commit,0.0,5.0,0.0,0.0,-28.045454545454547,-28.045454545454547,False
0,42,8,1,move(S),move,0.0,5.0,0.0,0.0,-22.023873841187825,-22.023873841187825,False
0,42,8,2,move(E),move,0.0,5.0,0.0,0.0,-20.023873841187825,-20.023873841187825,True
0,42,8,3,move(W),move,0.0,5.0,0.0,0.0,-23.819552531207847,-23.819552531207847,False
0,42,9,1,move(S),move,0.0,5.0,0.0,0.0,-22.863636363636363,-22.863636363636363,False
0,42,9,2,move(E),move,0.0,5.0,0.0,0.0,-22.863636363636363,-22.863636363636363,False
0,42,9,3,move(W),move,0.0,5.0,0.0,0.0,-22.863636363636363,-22.863636363636363,False
0,42,9,4,test0,observe,0.5,5.0,0.06942769813726002,0.3471384906863001,-20.21953906607674,-19.87240057539044,False
0,42,9,5,test1,observe,2.0,5.0,0.3159525044897076,1.5797625224485379,-21.10363636363636,-19.523873841187825,True
0,42,9,6,diagnose(nominal),commit,0.0,5.0,0.0,0.0,-33.46363636363636,-33.46363636363636,False
0,42,9,7,diagnose(faulty),commit,0.0,5.0,0.0,0.0,-21.863636363636363,-21.863636363636363,False
0,42,10,1,move(S),move,0.0,5.0,0.0,0.0,-17.922459893048128,-17.922459893048128,False
0,42,10,2,move(E),move,0.0,5.0,0.0,0.0,-17.922459893048128,-17.922459893048128,False
0,42,10,3,move(W),move,0.0,5.0,0.0,0.0,-17.922459893048128,-17.922459893048128,False
0,42,10,4,test0,observe,0.5,5.0,0.054339962585036594,0.27169981292518297,-17.422459893048128,-17.150760080122947,False
0,42,10,5,test1,observe,2.0,5.0,0.25283882129144875,1.2641941064572437,-18.303110990047042,-17.0389168835898,False
0,42,10,6,diagnose(nominal),commit,0.0,5.0,0.0,0.0,-59.1577540106952,-59.1577540106952,False
0,42,10,7,diagnose(faulty),commit,0.0,5.0,0.0,0.0,-16.922459893048128,-16.922459893048128,True
0,42,11,1,move(S),move,0.0,5.0,0.0,0.0,-18.523873841187825,-18.523873841187825,True
0,42,11,2,move(E),move,0.0,5.0,0.0,0.0,-20.863636363636363,-20.863636363636363,False
0,42,11,3,move(W),move,0.0,5.0,0.0,0.0,-18.523873841187825,-18.523873841187825,False
0,42,12,0,move(N),move,0.0,5.0,0.0,0.0,-20.363636363636363,-20.363636363636363,False
0,42,12,1,move(S),move,0.0,5.0,0.0,0.0,-19.363636363636363,-19.363636363636363,False
0,42,12,2,move(E),move,0.0,5.0,0.0,0.0,-19.363636363636363,-19.363636363636363,False
0,42,12,3,move(W),move,0.0,5.0,0.0,0.0,-17.023873841187825,-17.023873841187825,True
0,42,13,0,move(N),move,0.0,5.0,0.0,0.0,-18.523873841187825,-18.523873841187825,False
0,42,13,1,move(S),move,0.0,5.0,0.0,0.0,-18.523873841187825,-18.523873841187825,False
0,42,13,2,move(E),move,0.0,5.0,0.0,0.0,-18.523873841187825,-18.523873841187825,False
0,42,13,3,move(W),move,0.0,5.0,0.0,0.0,-18.523873841187825,-18.523873841187825,False
0,42,13,4,test0,observe,0.5,5.0,0.06942769813726002,0.3471384906863001,-16.799539066076743,-16.452400575390442,False
0,42,13,5,test1,observe,2.0,5.0,0.3159525044897076,1.5797625224485379,-17.95454103423354,-16.374778511785003,True
0,42,13,6,diagnose(nominal),commit,0.0,5.0,0.0,0.0,-30.46363636363636,-30.46363636363636,False
0,42,13,7,diagnose(faulty),commit,0.0,5.0,0.0,0.0,-18.863636363636363,-18.863636363636363,False
0,42,14,0,move(N),move,0.0,5.0,0.0,0.0,-18.227272727272727,-18.227272727272727,False
0,42,14,1,move(S),move,0.0,5.0,0.0,0.0,-18.227272727272727,-18.227272727272727,False
0,42,14,2,move(E),move,0.0,5.0,0.0,0.0,-18.227272727272727,-18.227272727272727,False
0,42,14,3,move(W),move,0.0,5.0,0.0,0.0,-18.227272727272727,-18.227272727272727,False
0,42,14,4,test0,observe,0.5,5.0,0.0146270576706794,0.073135288353397,-16.75632418319761,-16.68318889484421,True
0,42,14,5,test1,observe,2.0,5.0,0.07322414041383583,0.3661207020691792,-17.326396019666106,-16.960275317596928,False
0,42,14,6,diagnose(nominal),commit,0.0,5.0,0.0,0.0,-17.227272727272727,-17.227272727272727,False
0,42,14,7,diagnose(faulty),commit,0.0,5.0,0.0,0.0,-21.40909090909091,-21.40909090909091,False
0,42,15,0,move(N),move,0.0,5.0,0.0,0.0,-19.01208379654313,-19.01208379654313,False
0,42,15,1,move(S),move,0.0,5.0,0.0,0.0,-19.01208379654313,-19.01208379654313,False
0,42,15,2,move(E),move,0.0,5.0,0.0,0.0,-19.01208379654313,-19.01208379654313,False
0,42,15,3,move(W),move,0.0,5.0,0.0,0.0,-19.01208379654313,-19.01208379654313,False
0,42,15,4,test0,observe,0.5,5.0,0.03017117582626222,0.1508558791313111,-17.38871503803808,-17.23785915890677,False
0,42,15,5,test1,observe,2.0,5.0,0.14631051341864595,0.7315525670932298,-17.515738846146323,-16.784186279053095,True
0,42,15,6,diagnose(nominal),commit,0.0,5.0,0.0,0.0,-20.063636363636363,-20.063636363636363,False
0,42,15,7,diagnose(faulty),commit,0.0,5.0,0.0,0.0,-20.863636363636363,-20.863636363636363,False
0,42,16,0,move(N),move,0.0,5.0,0.0,0.0,-16.497782705099777,-16.497782705099777,False
0,42,16,1,move(S),move,0.0,5.0,0.0,0.0,-16.497782705099777,-16.497782705099777,False
0,42,16,2,move(E),move,0.0,5.0,0.0,0.0,-16.497782705099777,-16.497782705099777,False
0,42,16,3,move(W),move,0.0,5.0,0.0,0.0,-16.497782705099777,-16.497782705099777,False
0,42,16,4,test0,observe,0.5,5.0,0.004076678279184301,0.020383391395921505,-15.997782705099779,-15.977399313703858,False
0,42,16,5,test1,observe,2.0,5.0,0.020922122655017916,0.10461061327508958,-17.16285620383345,-17.05824559055836,False
0,42,16,6,diagnose(nominal),commit,0.0,5.0,0.0,0.0,-15.497782705099777,-15.497782705099777,True
0,42,16,7,diagnose(faulty),commit,0.0,5.0,0.0,0.0,-21.74168514412417,-21.74168514412417,False
0,42,17,0,move(N),move,0.0,5.0,0.0,0.0,-16.863636363636363,-16.863636363636363,True
0,42,17,1,move(S),move,0.0,5.0,0.0,0.0,-17.863636363636363,-17.863636363636363,False
0,42,17,2,move(E),move,0.0,5.0,0.0,0.0,-17.863636363636363,-17.863636363636363,False
0,42,17,3,move(W),move,0.0,5.0,0.0,0.0,-16.863636363636363,-16.863636363636363,False
0,42,18,1,move(S),move,0.0,5.0,0.0,0.0,-17.363636363636363,-17.363636363636363,False
0,42,18,2,move(E),move,0.0,5.0,0.0,0.0,-17.363636363636363,-17.363636363636363,False
0,42,18,3,move(W),move,0.0,5.0,0.0,0.0,-15.819552531207849,-15.819552531207849,True
0,42,19,1,move(S),move,0.0,5.0,0.0,0.0,-16.863636363636363,-16.863636363636363,False
0,42,19,2,move(E),move,0.0,5.0,0.0,0.0,-16.863636363636363,-16.863636363636363,False
0,42,19,3,move(W),move,0.0,5.0,0.0,0.0,-16.863636363636363,-16.863636363636363,False
0,42,19,4,test0,observe,0.5,5.0,0.0146270576706794,0.073135288353397,-15.37892397841754,-15.305788690064142,True
0,42,19,5,test1,observe,2.0,5.0,0.07322414041383583,0.3661207020691792,-15.962759656029746,-15.596638953960568,False
0,42,19,6,diagnose(nominal),commit,0.0,5.0,0.0,0.0,-15.863636363636363,-15.863636363636363,False
0,42,19,7,diagnose(faulty),commit,0.0,5.0,0.0,0.0,-20.045454545454547,-20.045454545454547,False
0,42,20,1,move(S),move,0.0,5.0,0.0,0.0,-15.54,-15.54,False
0,42,20,2,move(E),move,0.0,5.0,0.0,0.0,-15.54,-15.54,False
0,42,20,3,move(W),move,0.0,5.0,0.0,0.0,-15.54,-15.54,False
