env,scale_k,w,w_over_alpha,mean_usage,se_usage,n_seeds
Diagnosis,0.1,0.0,0.0,5.76,0.0878635305459552,5
Diagnosis,0.1,0.0001,0.001,5.856,0.10796295661012624,5
Diagnosis,0.1,0.00022825440432961889,0.0022825440432961887,5.992,0.10384603988597746,5
Diagnosis,0.1,0.0005210007309586913,0.005210007309586913,5.992000000000001,0.10518555033843766,5
Diagnosis,0.1,0.0011892071150027212,0.011892071150027212,5.76,0.050596442562694126,5
Diagnosis,0.1,0.002714417616594907,0.027144176165949066,5.956,0.09495261976375374,5
Diagnosis,0.1,0.006195777761776942,0.06195777761776942,5.776000000000001,0.11788129622633098,5
Diagnosis,0.1,0.01414213562373095,0.1414213562373095,5.792,0.0671118469422502,5
Diagnosis,0.1,0.032280047427433914,0.3228004742743391,9.751999999999999,0.13922643427165682,5
Diagnosis,0.1,0.07368062997280775,0.7368062997280774,9.847999999999999,0.06974238309665058,5
Diagnosis,0.1,0.16817928305074292,1.6817928305074292,9.572,0.14485855169785455,5
Diagnosis,0.1,0.3838766207332969,3.838766207332969,9.924000000000001,0.1536749816983883,5
Diagnosis,0.1,0.8762152940154572,8.762152940154571,9.684000000000001,0.14565713164826513,5
Diagnosis,0.1,2.0000000000000004,20.000000000000004,9.972,0.13245376551838753,5
Diagnosis,1.0,0.0,0.0,5.788,0.07116178749862886,5
Diagnosis,1.0,0.001,0.001,5.916,0.08908422980528043,5
Diagnosis,1.0,0.0022825440432961887,0.0022825440432961887,5.872000000000001,0.10461357464497613,5
Diagnosis,1.0,0.005210007309586913,0.005210007309586913,5.828,0.1259523719506703,5
Diagnosis,1.0,0.011892071150027212,0.011892071150027212,5.916,0.10400000000000006,5
Diagnosis,1.0,0.027144176165949066,0.027144176165949066,5.819999999999999,0.09011104260855052,5
Diagnosis,1.0,0.06195777761776942,0.06195777761776942,5.912,0.17951044537853503,5
Diagnosis,1.0,0.1414213562373095,0.1414213562373095,5.784,0.1339253523422656,5
Diagnosis,1.0,0.3228004742743391,0.3228004742743391,9.535999999999998,0.124643491607063,5
Diagnosis,1.0,0.7368062997280774,0.7368062997280774,9.916,0.2248910847499296,5
Diagnosis,1.0,1.6817928305074292,1.6817928305074292,9.908000000000001,0.14595889832415154,5
Diagnosis,1.0,3.838766207332969,3.838766207332969,9.559999999999999,0.1806654366501793,5
Diagnosis,1.0,8.762152940154571,8.762152940154571,9.528,0.3310347413792092,5
Diagnosis,1.0,20.000000000000004,20.000000000000004,9.703999999999999,0.17267310155319482,5
Diagnosis,10.0,0.0,0.0,5.888,0.14051334456200248,5
Diagnosis,10.0,0.01,0.001,5.88,0.1418449858119772,5
Diagnosis,10.0,0.022825440432961887,0.0022825440432961887,5.852,0.065604877867427,5
Diagnosis,10.0,0.052100073095869136,0.005210007309586913,5.9719999999999995,0.058855755878248595,5
Diagnosis,10.0,0.11892071150027211,0.011892071150027212,5.848000000000001,0.09134549797335394,5
Diagnosis,10.0,0.27144176165949063,0.027144176165949063,5.747999999999999,0.13573503600765727,5
Diagnosis,10.0,0.6195777761776942,0.06195777761776942,5.724,0.09108238029388557,5
Diagnosis,10.0,1.414213562373095,0.1414213562373095,6.056,0.1170299107066223,5
Diagnosis,10.0,3.228004742743391,0.3228004742743391,9.66,0.25961509971494345,5
Diagnosis,10.0,7.3680629972807745,0.7368062997280774,10.0,0.11523888232710344,5
Diagnosis,10.0,16.817928305074293,1.6817928305074292,9.632,0.23533805472128813,5
Diagnosis,10.0,38.38766207332969,3.838766207332969,9.616,0.15249918032566614,5
Diagnosis,10.0,87.62152940154571,8.762152940154571,9.680000000000001,0.2491585840383589,5
Diagnosis,10.0,200.00000000000003,20.000000000000004,9.48,0.05692099788303067,5
Bandit,0.1,0.0,0.0,3.308,0.06529931086925808,5
Bandit,0.1,0.0001,0.001,3.2120000000000006,0.06777905281132214,5
Bandit,0.1,0.00022825440432961889,0.0022825440432961887,3.076,0.07487322618933955,5
Bandit,0.1,0.0005210007309586913,0.005210007309586913,3.2560000000000002,0.10225458424931369,5
Bandit,0.1,0.0011892071150027212,0.011892071150027212,3.374,0.019390719429665308,5
Bandit,0.1,0.002714417616594907,0.027144176165949066,3.082,0.10111379727811631,5
Bandit,0.1,0.006195777761776942,0.06195777761776942,3.1799999999999997,0.04571651780264986,5
Bandit,0.1,0.01414213562373095,0.1414213562373095,6.07,0.11148990985734986,5
Bandit,0.1,0.032280047427433914,0.3228004742743391,6.08,0.11726039399558572,5
Bandit,0.1,0.07368062997280775,0.7368062997280774,5.1000000000000005,0.13390294993016405,5
Bandit,0.1,0.16817928305074292,1.6817928305074292,5.082,0.1387587835057658,5
Bandit,0.1,0.3838766207332969,3.838766207332969,7.318,0.14630105946301275,5
Bandit,0.1,0.8762152940154572,8.762152940154571,8.303999999999998,0.12460337074092319,5
Bandit,0.1,2.0000000000000004,20.000000000000004,9.762,0.14911069713471276,5
Bandit,1.0,0.0,0.0,3.3900000000000006,0.08555699854482977,5
Bandit,1.0,0.001,0.001,3.186,0.05635601121442144,5
Bandit,1.0,0.0022825440432961887,0.0022825440432961887,3.1580000000000004,0.09697422337920529,5
Bandit,1.0,0.005210007309586913,0.005210007309586913,3.12,0.06340346993658942,5
Bandit,1.0,0.011892071150027212,0.011892071150027212,3.322,0.03992492955535425,5
Bandit,1.0,0.027144176165949066,0.027144176165949066,3.146,0.08176796438703852,5
Bandit,1.0,0.06195777761776942,0.06195777761776942,3.114,0.11369256791892773,5
Bandit,1.0,0.1414213562373095,0.1414213562373095,6.144,0.08846468221838599,5
Bandit,1.0,0.3228004742743391,0.3228004742743391,5.953999999999999,0.0956347217280418,5
Bandit,1.0,0.7368062997280774,0.7368062997280774,4.944,0.1367698797250331,5
Bandit,1.0,1.6817928305074292,1.6817928305074292,5.114,0.17136510730017343,5
Bandit,1.0,3.838766207332969,3.838766207332969,7.236,0.2657743403716769,5
Bandit,1.0,8.762152940154571,8.762152940154571,8.802,0.22007725916141346,5
Bandit,1.0,20.000000000000004,20.000000000000004,9.355999999999998,0.14386104406683575,5
Bandit,10.0,0.0,0.0,3.222,0.09150956234186673,5
Bandit,10.0,0.01,0.001,3.31,0.1136661779070626,5
Bandit,10.0,0.022825440432961887,0.0022825440432961887,3.354,0.10623558725775462,5
Bandit,10.0,0.052100073095869136,0.005210007309586913,3.21,0.11384199576606167,5
Bandit,10.0,0.11892071150027211,0.011892071150027212,3.152,0.05526300751859238,5
Bandit,10.0,0.27144176165949063,0.027144176165949063,3.25,0.052057660339281504,5
Bandit,10.0,0.6195777761776942,0.06195777761776942,3.3600000000000003,0.07576278769950327,5
Bandit,10.0,1.414213562373095,0.1414213562373095,6.022,0.09728309205612248,5
Bandit,10.0,3.228004742743391,0.3228004742743391,5.926,0.09373366524360391,5
Bandit,10.0,7.3680629972807745,0.7368062997280774,5.078,0.11693587986584783,5
Bandit,10.0,16.817928305074293,1.6817928305074292,4.974,0.1839456441452203,5
Bandit,10.0,38.38766207332969,3.838766207332969,7.13,0.1739827577663947,5
Bandit,10.0,87.62152940154571,8.762152940154571,8.536,0.18123465452280366,5
Bandit,10.0,200.00000000000003,20.000000000000004,9.498,0.11736268572250717,5
Tiger,0.1,0.0,0.0,4.264,0.10533755265810958,5
Tiger,0.1,0.0001,0.001,4.236,0.047074409183759415,5
