env,w,mean_usage,se_usage,n_seeds,usage_kind
Diagnosis-hetero,0.0,7.843999999999999,0.12383860464330175,5,count
Diagnosis-hetero,0.001,7.552,0.0806473806146238,5,count
Diagnosis-hetero,0.0031622776601683794,7.4959999999999996,0.17780888616714305,5,count
Diagnosis-hetero,0.01,7.816,0.1400571312000927,5,count
Diagnosis-hetero,0.03162277660168379,7.828,0.15107613974416995,5,count
Diagnosis-hetero,0.1,7.5280000000000005,0.15107613974417,5,count
Diagnosis-hetero,0.31622776601683794,7.4959999999999996,0.10628264204469126,5,count
Diagnosis-hetero,1.0,7.984,0.15727682601069995,5,count
Diagnosis-hetero,3.1622776601683795,7.659999999999999,0.07797435475847177,5,count
Diagnosis-hetero,10.0,7.748,0.11909659944767524,5,count
Diagnosis-hetero,31.622776601683793,11.536,0.058446556784810026,5,count
Diagnosis-hetero,100.0,15.127999999999997,0.1709502851708649,5,count
Diagnosis-hetero,0.0,9.98,0.12660963628413124,5,cost
Diagnosis-hetero,0.001,9.618,0.1322648857406984,5,cost
Diagnosis-hetero,0.0031622776601683794,9.836,0.08732697177848305,5,cost
Diagnosis-hetero,0.01,9.542,0.28638086528258144,5,cost
Diagnosis-hetero,0.03162277660168379,9.736,0.1086554186407653,5,cost
Diagnosis-hetero,0.1,9.411999999999999,0.11863389060466632,5,cost
Diagnosis-hetero,0.31622776601683794,9.776,0.1251239385569364,5,cost
Diagnosis-hetero,1.0,9.693999999999999,0.214955809412074,5,cost
Diagnosis-hetero,3.1622776601683795,9.722,0.2161342175593673,5,cost
Diagnosis-hetero,10.0,10.172,0.22143622106602157,5,cost
Diagnosis-hetero,31.622776601683793,15.662,0.5619199231207238,5,cost
Diagnosis-hetero,100.0,20.997999999999998,0.41117392913461853,5,cost
