instance,agent,reward,reward_se,log_score,log_score_se,brier,brier_se,success
Tiger,Planning (reward-only),5.0608,0.15776640960610083,-0.0346218757438401,0.006068625186429563,0.011137316133685193,0.002306885097831104,0.9944000000000001
Tiger,EFE (w=1),5.0608,0.15776640960610083,-0.0346218757438401,0.006068625186429563,0.011137316133685193,0.002306885097831104,0.9944000000000001
Tiger,SARSOP,5.0608,0.15776640960610083,-0.0346218757438401,0.006068625186429563,0.011137316133685193,0.002306885097831104,0.9944000000000001
Diagnosis,Planning (reward-only),-2.4008,0.46468294567371415,-0.432888216012621,0.018087821437578894,0.1990147148621305,0.010904378610222839,0.892
Diagnosis,EFE (w=1),-1.2168,0.1843665913336795,-0.1341486735392503,0.00424124519936038,0.048725460313014266,0.001946437555389928,0.9751999999999998
Diagnosis,SARSOP,-1.452,0.3363521963656548,-0.15411131233937675,0.020943600062710364,0.057886927768635556,0.009611660677688266,0.9703999999999999
Bandit,Planning (reward-only),5.5648,0.12280285012979143,-0.901081800403692,0.03260058733110959,0.46283131440036573,0.01932573623257711,0.6888
Bandit,EFE (w=1),6.2612,0.11245194529220032,-0.5254701505007311,0.02734007238175329,0.2400421044099009,0.01603668091664593,0.8672000000000001
Bandit,SARSOP,6.2798,0.1344720788862878,-0.5098275061386798,0.03351419484351436,0.23078252324354648,0.01831745509934665,0.8732000000000001
Inspection-N8,Planning (reward-only),-17.8548,0.23281804053809949,-0.4173322537618557,0.004024037765277896,0.2858543981065088,0.0028695078254706756,
Inspection-N8,EFE (w=1),-20.601000000000003,0.3816216712923936,-0.2815619603607703,0.0040829672365807375,0.17593621927923092,0.002697468110213942,
Inspection-N8,Planning+IG (w=100),-54.0116,0.15465529412212237,-0.013846338978120345,0.0016030988417567705,0.003793234432468026,0.0005356090101930647,
Inspection-N16,Planning (reward-only),-46.094,0.6615821944399654,-0.3824309387893464,0.005090578828190754,0.2508796825345052,0.0033766445861091354,
Inspection-N16,EFE (w=1),-45.7115,0.6148991787276998,-0.31803083112079733,0.004492357623856364,0.19902300410246712,0.003018521860662326,
Inspection-N16,Planning+IG (w=23.7),-60.928,0.230269407433988,-0.06178027419260583,0.0038840667441214175,0.024285412653739614,0.0018046552309165628,
