env,w,mean_usage,se_usage,n_seeds
Tiger,0.0,4.396,0.09152048950918036,5
Tiger,0.001,4.16,0.06356099432828292,5
Tiger,0.0022758459260747888,4.232,0.037735924528226425,5
Tiger,0.005179474679231213,4.3839999999999995,0.10107423014794614,5
Tiger,0.011787686347935873,4.192,0.09520504188329523,5
Tiger,0.02682695795279726,4.228,0.05043808085167406,5
Tiger,0.0610540229658533,4.363999999999999,0.0354400902933387,5
Tiger,0.13894954943731375,4.364,0.08795453370918407,5
Tiger,0.31622776601683794,4.14,0.05366563145999505,5
Tiger,0.7196856730011522,4.072,0.056780278266313516,5
Tiger,1.6378937069540647,4.236,0.06046486583132393,5
Tiger,3.7275937203149416,3.9799999999999995,0.03346640106136297,5
Tiger,8.483428982440726,4.167999999999999,0.1270590413941487,5
Tiger,19.306977288832496,4.199999999999999,0.0753657747256671,5
Tiger,43.93970560760795,5.616,0.055641710972974205,5
Tiger,100.0,5.5680000000000005,0.09221713506718796,5
Diagnosis,0.0,5.851999999999999,0.10537551897855593,5
Diagnosis,0.001,5.9239999999999995,0.10127191120937731,5
Diagnosis,0.0022758459260747888,6.036,0.08328265125462801,5
Diagnosis,0.005179474679231213,5.9,0.11644741302407706,5
Diagnosis,0.011787686347935873,5.9239999999999995,0.1330263131865272,5
Diagnosis,0.02682695795279726,5.804,0.07959899496852971,5
Diagnosis,0.0610540229658533,5.795999999999999,0.09173875952943783,5
Diagnosis,0.13894954943731375,5.715999999999999,0.10146920715172655,5
Diagnosis,0.31622776601683794,9.772,0.24540578640284735,5
Diagnosis,0.7196856730011522,9.408000000000001,0.13062924634246345,5
Diagnosis,1.6378937069540647,9.436,0.1032279032045115,5
Diagnosis,3.7275937203149416,9.744,0.16593974810153245,5
Diagnosis,8.483428982440726,9.704,0.10166612021711072,5
Diagnosis,19.306977288832496,9.788,0.21822923727126947,5
Diagnosis,43.93970560760795,13.568000000000001,0.13632314550361568,5
Diagnosis,100.0,12.86,0.10936178491593851,5
Bandit,0.0,3.218,0.10942577392917995,5
Bandit,0.001,3.1180000000000003,0.05686826883245168,5
Bandit,0.0022758459260747888,3.0620000000000003,0.18423897524682445,5
Bandit,0.005179474679231213,3.246,0.09902524930541703,5
Bandit,0.011787686347935873,3.282,0.10599056561788882,5
Bandit,0.02682695795279726,3.228,0.13922643427165693,5
Bandit,0.0610540229658533,3.19,0.07556454194925025,5
Bandit,0.13894954943731375,5.934,0.13109538512091112,5
Bandit,0.31622776601683794,5.934,0.08692525524840286,5
Bandit,0.7196856730011522,5.192,0.17298554852934975,5
Bandit,1.6378937069540647,4.922,0.12039102956615992,5
Bandit,3.7275937203149416,7.274000000000001,0.20235117988289558,5
Bandit,8.483428982440726,8.678,0.060778285596091,5
Bandit,19.306977288832496,9.174000000000001,0.22098868749327416,5
Bandit,43.93970560760795,10.972,0.344156940944099,5
Bandit,100.0,12.2,0.19539703170723968,5
Tileworld-6x6,0.0,15.809999999999999,0.10999999999999974,5
Tileworld-6x6,0.001,15.91,0.1815901979733487,5
Tileworld-6x6,0.004216965034285823,15.955000000000002,0.14585952145814815,5
Tileworld-6x6,0.01778279410038923,15.87,0.1883148958526648,5
Tileworld-6x6,0.07498942093324558,16.01,0.26652861009655227,5
Tileworld-6x6,0.31622776601683794,15.809999999999999,0.25831182706178973,5
Tileworld-6x6,1.333521432163324,14.920000000000002,0.19306734576307813,5
Tileworld-6x6,5.623413251903491,15.030000000000001,0.22836374493338452,5
Tileworld-6x6,23.71373705661655,25.255000000000003,0.6152946448653688,5
Tileworld-6x6,100.0,33.7,0.46864165414525394,5
Inspection-N8,0.0,12.653333333333332,0.11479450238481724,5
Inspection-N8,0.001,12.653333333333332,0.11479450238481724,5
Inspection-N8,0.006812920690579615,12.653333333333332,0.11479450238481724,5
Inspection-N8,0.046415888336127795,12.653333333333332,0.11479450238481724,5
Inspection-N8,0.31622776601683794,13.413333333333332,0.12762793146051116,5
Inspection-N8,2.1544346900318843,15.439999999999998,0.1771377367411523,5
Inspection-N8,14.677992676220706,19.360000000000003,0.2543837870445193,5
Inspection-N8,100.0,30.886666666666667,0.3761796261244241,5
