Environment,Agent,Reward,Reward CI,Success,Success CI,Obs,Obs CI
Tiger,Myopic,-7.61,"[-8.69, -6.51]",84.9%,"[83.9%, 85.9%]",1.00,"[1.00, 1.00]"
Tiger,Planning,+5.12,"[+4.88, +5.34]",99.5%,"[99.3%, 99.7%]",4.29,"[4.23, 4.35]"
Tiger,InfoGain-Tuned,+5.00,"[+4.73, +5.26]",99.3%,"[99.0%, 99.5%]",4.21,"[4.15, 4.26]"
Tiger,Planning+IG,+5.11,"[+4.87, +5.33]",99.4%,"[99.2%, 99.6%]",4.27,"[4.22, 4.33]"
Tiger,EFE,+5.05,"[+4.78, +5.29]",99.3%,"[99.1%, 99.6%]",4.22,"[4.17, 4.28]"
Tiger,Thompson,+3.77,"[+3.22, +4.30]",96.8%,"[96.3%, 97.2%]",2.66,"[2.63, 2.70]"
Testbed,Myopic,+0.39,"[+0.37, +0.42]",74.7%,"[73.5%, 75.9%]",1.00,"[1.00, 1.00]"
Testbed,Planning,+0.48,"[+0.47, +0.50]",90.2%,"[89.3%, 91.0%]",3.19,"[3.13, 3.24]"
Testbed,InfoGain-Tuned,-0.41,"[-0.43, -0.40]",99.9%,"[99.8%, 100.0%]",14.12,"[13.94, 14.30]"
Testbed,Planning+IG,-0.41,"[-0.43, -0.39]",100.0%,"[99.9%, 100.0%]",14.06,"[13.88, 14.25]"
Testbed,EFE,+0.37,"[+0.36, +0.39]",96.7%,"[96.2%, 97.2%]",5.60,"[5.51, 5.70]"
Testbed,Thompson,+0.48,"[+0.46, +0.50]",89.9%,"[89.0%, 90.7%]",3.20,"[3.15, 3.26]"
Diagnosis,Myopic,-13.08,"[-13.88, -12.29]",64.9%,"[63.5%, 66.2%]",2.00,"[2.00, 2.00]"
Diagnosis,Planning,-2.72,"[-3.26, -2.19]",88.6%,"[87.7%, 89.5%]",5.88,"[5.81, 5.95]"
Diagnosis,InfoGain-Tuned,-3.80,"[-4.00, -3.60]",99.2%,"[98.9%, 99.4%]",13.32,"[13.18, 13.45]"
Diagnosis,Planning+IG,-3.66,"[-3.85, -3.48]",99.4%,"[99.1%, 99.6%]",13.29,"[13.16, 13.42]"
Diagnosis,EFE,-1.58,"[-1.89, -1.29]",97.0%,"[96.5%, 97.5%]",9.78,"[9.68, 9.89]"
Diagnosis,Thompson,-2.63,"[-3.15, -2.11]",88.7%,"[87.9%, 89.6%]",5.87,"[5.81, 5.94]"
Bandit,Myopic,+5.56,"[+5.44, +5.68]",62.1%,"[60.7%, 63.4%]",2.06,"[2.03, 2.08]"
Bandit,Planning,+5.65,"[+5.54, +5.76]",69.4%,"[68.1%, 70.6%]",3.19,"[3.13, 3.25]"
Bandit,InfoGain-Tuned,+4.25,"[+4.16, +4.33]",99.9%,"[99.8%, 100.0%]",11.49,"[11.33, 11.66]"
Bandit,Planning+IG,+3.86,"[+3.78, +3.94]",99.9%,"[99.7%, 100.0%]",12.25,"[12.09, 12.42]"
Bandit,EFE,+6.38,"[+6.29, +6.47]",87.9%,"[87.0%, 88.8%]",5.07,"[4.98, 5.16]"
Bandit,Thompson,+6.27,"[+6.18, +6.36]",87.2%,"[86.2%, 88.1%]",5.15,"[5.06, 5.24]"
