env,metric,agent_a,agent_b,mean_a,ci_a,mean_b,ci_b,diff,cohens_d,t_stat,p_raw,significant_hb
TILEWORLD EXPERIMENT (6x6),Reward,Myopic,Planning,-48.392,"[-48.752, -47.984]",-21.4748,"[-22.494, -20.421]",-26.917200000000005,-1.3462744605714119,-47.59799002041533,0.0,True
TILEWORLD EXPERIMENT (6x6),Reward,Myopic,InfoGain,-48.392,"[-48.752, -47.984]",-37.4252,"[-38.490, -36.340]",-10.966800000000006,-0.5336886398318011,-18.868742813364584,9.089298161230801e-77,True
TILEWORLD EXPERIMENT (6x6),Reward,Myopic,InfoGain-Tuned,-48.392,"[-48.752, -47.984]",-23.498,"[-23.976, -23.036]",-24.894000000000002,-2.273602723445494,-80.38399517362558,0.0,True
TILEWORLD EXPERIMENT (6x6),Reward,Myopic,Planning+IG,-48.392,"[-48.752, -47.984]",-24.3132,"[-24.757, -23.873]",-24.078800000000005,-2.280503186300068,-80.62796337751534,0.0,True
TILEWORLD EXPERIMENT (6x6),Reward,Myopic,EpistemicOnly,-48.392,"[-48.752, -47.984]",-200.0,"[-200.000, -200.000]",151.608,22.12231350637204,782.141894794521,0.0,True
TILEWORLD EXPERIMENT (6x6),Reward,Myopic,EFE,-48.392,"[-48.752, -47.984]",-21.1344,"[-22.192, -20.072]",-27.257600000000004,-1.3429955707405419,-47.482063758706744,0.0,True
TILEWORLD EXPERIMENT (6x6),Reward,Planning,InfoGain,-21.4748,"[-22.494, -20.421]",-37.4252,"[-38.490, -36.340]",15.950399999999998,0.5911263546012246,20.89947269383048,4.671888079937797e-93,True
TILEWORLD EXPERIMENT (6x6),Reward,Planning,InfoGain-Tuned,-21.4748,"[-22.494, -20.421]",-23.498,"[-23.976, -23.036]",2.0232000000000028,0.09805825348464228,3.4668827995149982,0.0005309655202455743,True
TILEWORLD EXPERIMENT (6x6),Reward,Planning,Planning+IG,-21.4748,"[-22.494, -20.421]",-24.3132,"[-24.757, -23.873]",2.8384,0.13894628204079879,4.912492912585371,9.279487088169081e-07,True
TILEWORLD EXPERIMENT (6x6),Reward,Planning,EpistemicOnly,-21.4748,"[-22.494, -20.421]",-200.0,"[-200.000, -200.000]",178.5252,9.504794919199067,336.0452470576552,0.0,True
TILEWORLD EXPERIMENT (6x6),Reward,Planning,EFE,-21.4748,"[-22.494, -20.421]",-21.1344,"[-22.192, -20.072]",-0.3403999999999989,-0.012705788857135225,-0.4492174730602395,0.6532942617542408,False
TILEWORLD EXPERIMENT (6x6),Reward,InfoGain,InfoGain-Tuned,-37.4252,"[-38.490, -36.340]",-23.498,"[-23.976, -23.036]",-13.927199999999996,-0.6578400136688206,-23.25815673005371,1.0595078545239204e-113,True
TILEWORLD EXPERIMENT (6x6),Reward,InfoGain,Planning+IG,-37.4252,"[-38.490, -36.340]",-24.3132,"[-24.757, -23.873]",-13.111999999999998,-0.6252216103050023,-22.104922019552006,2.2091925425341188e-103,True
TILEWORLD EXPERIMENT (6x6),Reward,InfoGain,EpistemicOnly,-37.4252,"[-38.490, -36.340]",-200.0,"[-200.000, -200.000]",162.5748,8.391993691871765,296.7017823598627,0.0,True
TILEWORLD EXPERIMENT (6x6),Reward,InfoGain,EFE,-37.4252,"[-38.490, -36.340]",-21.1344,"[-22.192, -20.072]",-16.290799999999997,-0.5987547301296243,-21.16917649710893,2.5177054888349982e-95,True
TILEWORLD EXPERIMENT (6x6),Reward,InfoGain-Tuned,Planning+IG,-23.498,"[-23.976, -23.036]",-24.3132,"[-24.757, -23.873]",0.8151999999999973,0.06953699716131487,2.4585041118057727,0.013985391547894598,False
TILEWORLD EXPERIMENT (6x6),Reward,InfoGain-Tuned,EpistemicOnly,-23.498,"[-23.976, -23.036]",-200.0,"[-200.000, -200.000]",176.502,20.669642074690994,730.7822037856391,0.0,True
TILEWORLD EXPERIMENT (6x6),Reward,InfoGain-Tuned,EFE,-23.498,"[-23.976, -23.036]",-21.1344,"[-22.192, -20.072]",-2.3636000000000017,-0.11295209338392945,-3.993459559049634,6.605103703952474e-05,True
TILEWORLD EXPERIMENT (6x6),Reward,Planning+IG,EpistemicOnly,-24.3132,"[-24.757, -23.873]",-200.0,"[-200.000, -200.000]",175.6868,21.87268940423198,773.316350025979,0.0,True
TILEWORLD EXPERIMENT (6x6),Reward,Planning+IG,EFE,-24.3132,"[-24.757, -23.873]",-21.1344,"[-22.192, -20.072]",-3.178799999999999,-0.1533874950606237,-5.423066895329255,6.134223855719598e-08,True
TILEWORLD EXPERIMENT (6x6),Reward,EpistemicOnly,EFE,-200.0,"[-200.000, -200.000]",-21.1344,"[-22.192, -20.072]",-178.8656,-9.362682359349684,-331.0208093195913,0.0,True
TILEWORLD EXPERIMENT (6x6),Success,Myopic,Planning,0.0268,"[0.021, 0.034]",0.7368,"[0.720, 0.754]",-0.71,-2.1402657787943693,-75.66982228635028,0.0,True
TILEWORLD EXPERIMENT (6x6),Success,Myopic,InfoGain,0.0268,"[0.021, 0.034]",0.2964,"[0.279, 0.314]",-0.2696,-0.7869685009275136,-27.823538179302837,1.5758075738699313e-158,True
TILEWORLD EXPERIMENT (6x6),Success,Myopic,InfoGain-Tuned,0.0268,"[0.021, 0.034]",0.9804,"[0.975, 0.986]",-0.9536,-6.335148036994124,-223.98130683895954,0.0,True
TILEWORLD EXPERIMENT (6x6),Success,Myopic,Planning+IG,0.0268,"[0.021, 0.034]",0.9844,"[0.979, 0.989]",-0.9576,-6.651364831562993,-235.16125882719552,0.0,True
TILEWORLD EXPERIMENT (6x6),Success,Myopic,EpistemicOnly,0.0268,"[0.021, 0.034]",0.0,"[0.000, 0.000]",0.0268,0.23463590389851624,8.295631937823796,1.3751687647739333e-16,True
TILEWORLD EXPERIMENT (6x6),Success,Myopic,EFE,0.0268,"[0.021, 0.034]",0.728,"[0.710, 0.745]",-0.7011999999999999,-2.0943596937482427,-74.04679708465815,0.0,True
TILEWORLD EXPERIMENT (6x6),Success,Planning,InfoGain,0.7368,"[0.720, 0.754]",0.2964,"[0.279, 0.314]",0.4404,0.9815381049494849,34.70261250013869,1.3048393597926255e-236,True
TILEWORLD EXPERIMENT (6x6),Success,Planning,InfoGain-Tuned,0.7368,"[0.720, 0.754]",0.9804,"[0.975, 0.986]",-0.24360000000000004,-0.7460557720066452,-26.377054776463186,1.1476361275309572e-143,True
TILEWORLD EXPERIMENT (6x6),Success,Planning,Planning+IG,0.7368,"[0.720, 0.754]",0.9844,"[0.979, 0.989]",-0.24760000000000004,-0.7652659821826456,-27.05623827063662,1.4275512927892126e-150,True
TILEWORLD EXPERIMENT (6x6),Success,Planning,EpistemicOnly,0.7368,"[0.720, 0.754]",0.0,"[0.000, 0.000]",0.7368,2.365701731167956,83.64018681868083,0.0,True
TILEWORLD EXPERIMENT (6x6),Success,Planning,EFE,0.7368,"[0.720, 0.754]",0.728,"[0.710, 0.745]",0.00880000000000003,0.019874674490752496,0.7026758553143193,0.48229050315849065,False
TILEWORLD EXPERIMENT (6x6),Success,InfoGain,InfoGain-Tuned,0.2964,"[0.279, 0.314]",0.9804,"[0.975, 0.986]",-0.684,-2.0264819995416303,-71.64695819141807,0.0,True
TILEWORLD EXPERIMENT (6x6),Success,InfoGain,Planning+IG,0.2964,"[0.279, 0.314]",0.9844,"[0.979, 0.989]",-0.6880000000000001,-2.055824057987376,-72.68435661646598,0.0,True
TILEWORLD EXPERIMENT (6x6),Success,InfoGain,EpistemicOnly,0.2964,"[0.279, 0.314]",0.0,"[0.000, 0.000]",0.2964,0.9177075524320316,32.44586167353993,9.66836308865337e-210,True
TILEWORLD EXPERIMENT (6x6),Success,InfoGain,EFE,0.2964,"[0.279, 0.314]",0.728,"[0.710, 0.745]",-0.4316,-0.9570742021813635,-33.83768292305734,3.530513327999357e-226,True
TILEWORLD EXPERIMENT (6x6),Success,InfoGain-Tuned,Planning+IG,0.9804,"[0.975, 0.986]",0.9844,"[0.979, 0.989]",-0.0040000000000000036,-0.03041745301320468,-1.0754193646030106,0.28223892659351135,False
TILEWORLD EXPERIMENT (6x6),Success,InfoGain-Tuned,EpistemicOnly,0.9804,"[0.975, 0.986]",0.0,"[0.000, 0.000]",0.9804,10.000039999920002,353.5548048040078,0.0,True
TILEWORLD EXPERIMENT (6x6),Success,InfoGain-Tuned,EFE,0.9804,"[0.975, 0.986]",0.728,"[0.710, 0.745]",0.25240000000000007,0.7656948599875423,27.071401390843764,9.975571010910746e-151,True
TILEWORLD EXPERIMENT (6x6),Success,Planning+IG,EpistemicOnly,0.9844,"[0.979, 0.989]",0.0,"[0.000, 0.000]",0.9844,11.231858535159983,397.1061667769813,0.0,True
TILEWORLD EXPERIMENT (6x6),Success,Planning+IG,EFE,0.9844,"[0.979, 0.989]",0.728,"[0.710, 0.745]",0.2564000000000001,0.7848321352348021,27.748006245882305,9.728059355599013e-158,True
TILEWORLD EXPERIMENT (6x6),Success,EpistemicOnly,EFE,0.0,"[0.000, 0.000]",0.728,"[0.710, 0.745]",-0.728,-2.313179629860163,-81.78325011883547,0.0,True
